text,url,table_index,link_type
"India in Pakistan ODI Series, 1989/90",https://www.espncricinfo.com/series/india-in-pakistan-odi-series-1989-90-60899/match-schedule-fixtures-and-results,1,series
"Benson & Hedges World Series (Australia, Pakistan, Sri Lanka in Australia), 1989/90",https://www.espncricinfo.com/series/benson-hedges-world-series-1989-90-60900/match-schedule-fixtures-and-results,1,series
"Rothmans Cup Triangular Series (Australia, India, New Zealand in New Zealand), 1989/90",https://www.espncricinfo.com/series/rothmans-cup-triangular-series-1989-90-60902/match-schedule-fixtures-and-results,1,series
"Georgetown Test Replacement Match (2) (England in West Indies), 1989/90",https://www.espncricinfo.com/series/georgetown-test-replacement-match-2-1989-90-60904/match-schedule-fixtures-and-results,1,series
"England in West Indies ODI Series, 1989/90",https://www.espncricinfo.com/series/england-in-west-indies-odi-series-1989-90-60901/match-schedule-fixtures-and-results,1,series
"Austral-Asia Cup (Australia, Bangladesh, India, New Zealand, Pakistan, Sri Lanka in United Arab Emirates), 1990",https://www.espncricinfo.com/series/austral-asia-cup-1990-60905/match-schedule-fixtures-and-results,1,series
"Texaco Trophy (New Zealand in England), 1990",https://www.espncricinfo.com/series/texaco-trophy-1990-60906/match-schedule-fixtures-and-results,1,series
"Texaco Trophy (India in England), 1990",https://www.espncricinfo.com/series/texaco-trophy-1990-60907/match-schedule-fixtures-and-results,1,series
"New Zealand in Pakistan ODI Series, 1990/91",https://www.espncricinfo.com/series/new-zealand-in-pakistan-odi-series-1990-91-60908/match-schedule-fixtures-and-results,1,series
"West Indies in Pakistan ODI Series, 1990/91",https://www.espncricinfo.com/series/west-indies-in-pakistan-odi-series-1990-91-60909/match-schedule-fixtures-and-results,1,series
"Sri Lanka in India ODI Series, 1990/91",https://www.espncricinfo.com/series/sri-lanka-in-india-odi-series-1990-91-60911/match-schedule-fixtures-and-results,1,series
"Sharjah Cup (Pakistan, Sri Lanka in United Arab Emirates), 1990/91",https://www.espncricinfo.com/series/sharjah-cup-1990-91-60912/match-schedule-fixtures-and-results,1,series
